run_id,seed,mode,agent,shift_delta,pre_shift_mae,post_shift_mae,post_shift_aue,adaptation_time,action_counts,stabilize_fraction_post_shift,replay_hash,pass_fail,failure_reason
causal_learned-action_null-d8.0-s1,1,action_null,causal_learned,8.0,1.1197485901074047,2.4762409463790074,619.0602365947518,137.0,"{""observe"": 430, ""stabilize"": 170}",0.388,6872d29fe101a16b038b75ca5f2457996541c267698a056c4ff78ab9890fa717,n/a,
no_action-action_null-d8.0-s1,1,action_null,no_action,8.0,1.1197485901074047,2.4762409463790074,619.0602365947518,137.0,"{""observe"": 600}",0.0,6872d29fe101a16b038b75ca5f2457996541c267698a056c4ff78ab9890fa717,n/a,
random_action-action_null-d8.0-s1,1,action_null,random_action,8.0,1.1197485901074047,2.4762409463790074,619.0602365947518,137.0,"{""stabilize"": 196, ""destabilize"": 210, ""observe"": 194}",0.348,6872d29fe101a16b038b75ca5f2457996541c267698a056c4ff78ab9890fa717,n/a,
causal_learned-interventional-d8.0-s2,2,interventional,causal_learned,8.0,1.0331785456858291,1.587559932048624,396.889983012156,20.0,"{""observe"": 329, ""stabilize"": 271}",0.592,90e5b31318a150cbd34ce16fed4afa4b03ebdf7b66e4d2210618b0ddaf980865,n/a,
no_action-interventional-d8.0-s2,2,interventional,no_action,8.0,1.2268831230431825,2.53792311610384,634.48077902596,192.0,"{""observe"": 600}",0.0,14e9856030e328f494346a2864e013afe7dbfb212ed0ad1e9acf2d2931f02ff6,n/a,
random_action-interventional-d8.0-s2,2,interventional,random_action,8.0,1.2968120858348553,3.1156331221532874,778.9082805383218,22.0,"{""destabilize"": 193, ""observe"": 210, ""stabilize"": 197}",0.3,644153cba048368fbb520e492accd009b16028502c9fed9bd951bf7fdd2a57a6,n/a,
causal_learned-action_null-d8.0-s2,2,action_null,causal_learned,8.0,1.2268831230431825,2.53792311610384,634.48077902596,192.0,"{""observe"": 380, ""stabilize"": 220}",0.492,14e9856030e328f494346a2864e013afe7dbfb212ed0ad1e9acf2d2931f02ff6,n/a,
no_action-action_null-d8.0-s2,2,action_null,no_action,8.0,1.2268831230431825,2.53792311610384,634.48077902596,192.0,"{""observe"": 600}",0.0,14e9856030e328f494346a2864e013afe7dbfb212ed0ad1e9acf2d2931f02ff6,n/a,
random_action-action_null-d8.0-s2,2,action_null,random_action,8.0,1.2268831230431825,2.53792311610384,634.48077902596,192.0,"{""destabilize"": 193, ""observe"": 210, ""stabilize"": 197}",0.3,14e9856030e328f494346a2864e013afe7dbfb212ed0ad1e9acf2d2931f02ff6,n/a,
causal_learned-interventional-d8.0-s3,3,interventional,causal_learned,8.0,1.003513018010093,1.3829821011158665,345.7455252789666,20.0,"{""observe"": 306, ""stabilize"": 294}",0.684,c00f8194a89a73ece4c52b63b263287a018ae79f91e8b1018d92b724837dc75c,n/a,
no_action-interventional-d8.0-s3,3,interventional,no_action,8.0,1.1749585878437396,2.483517683932311,620.8794209830778,166.0,"{""observe"": 600}",0.0,334fbc8584b4b3d4b90149c7e6e7967b5bb2727e0789215cc3da5a93832e07e8,n/a,
random_action-interventional-d8.0-s3,3,interventional,random_action,8.0,1.2148510234141359,2.240047070671259,560.0117676678148,81.0,"{""destabilize"": 188, ""observe"": 197, ""stabilize"": 215}",0.392,a30245ed742739b5e83baa2d196249c5d6fcca02f7a5e9498a7f20809c8ff5ad,n/a,
causal_learned-action_null-d8.0-s3,3,action_null,causal_learned,8.0,1.1749585878437396,2.483517683932311,620.8794209830778,166.0,"{""observe"": 355, ""stabilize"": 245}",0.592,334fbc8584b4b3d4b90149c7e6e7967b5bb2727e0789215cc3da5a93832e07e8,n/a,
no_action-action_null-d8.0-s3,3,action_null,no_action,8.0,1.1749585878437396,2.483517683932311,620.8794209830778,166.0,"{""observe"": 600}",0.0,334fbc8584b4b3d4b90149c7e6e7967b5bb2727e0789215cc3da5a93832e07e8,n/a,
random_action-action_null-d8.0-s3,3,action_null,random_action,8.0,1.1749585878437396,2.483517683932311,620.8794209830778,166.0,"{""destabilize"": 188, ""observe"": 197, ""stabilize"": 215}",0.392,334fbc8584b4b3d4b90149c7e6e7967b5bb2727e0789215cc3da5a93832e07e8,n/a,
causal_learned-interventional-d8.0-s4,4,interventional,causal_learned,8.0,1.053467476439588,2.007060213038935,501.7650532597338,21.0,"{""observe"": 453, ""stabilize"": 147}",0.296,a9fa41ebda42b6b51a0f6190299d75936d4d04ba60048dceeae2e038e6efc75e,n/a,
no_action-interventional-d8.0-s4,4,interventional,no_action,8.0,1.1495887910733948,2.4530844500007243,613.2711125001811,203.0,"{""observe"": 600}",0.0,36a88ce56d5c35d17baf7c679ddef0a6ff8a109f3be1fd265867385ff99473e2,n/a,
random_action-interventional-d8.0-s4,4,interventional,random_action,8.0,1.1479145615976372,3.6114885055572485,902.8721263893121,47.0,"{""destabilize"": 221, ""stabilize"": 186, ""observe"": 193}",0.26,a3b91943f008c18a6c0d5711e497f9555d63b57817f50d40da4e272d778009f0,n/a,
causal_learned-action_null-d8.0-s4,4,action_null,causal_learned,8.0,1.1495887910733948,2.4530844500007243,613.2711125001811,203.0,"{""observe"": 503, ""stabilize"": 97}",0.096,36a88ce56d5c35d17baf7c679ddef0a6ff8a109f3be1fd265867385ff99473e2,n/a,
no_action-action_null-d8.0-s4,4,action_null,no_action,8.0,1.1495887910733948,2.4530844500007243,613.2711125001811,203.0,"{""observe"": 600}",0.0,36a88ce56d5c35d17baf7c679ddef0a6ff8a109f3be1fd265867385ff99473e2,n/a,
random_action-action_null-d8.0-s4,4,action_null,random_action,8.0,1.1495887910733948,2.4530844500007243,613.2711125001811,203.0,"{""destabilize"": 221, ""stabilize"": 186, ""observe"": 193}",0.26,36a88ce56d5c35d17baf7c679ddef0a6ff8a109f3be1fd265867385ff99473e2,n/a,
causal_learned-interventional-d8.0-s5,5,interventional,causal_learned,8.0,1.0279813072085024,1.6553082436694757,413.82706091736895,40.0,"{""observe"": 332, ""stabilize"": 268}",0.556,67c4f33a9e1a2556a0185809810412c138b6be86a30a6c7583d83f4471ed6cb0,n/a,
no_action-interventional-d8.0-s5,5,interventional,no_action,8.0,1.1310271856547154,2.469636522388227,617.4091305970567,62.0,"{""observe"": 600}",0.0,dc083834caacce905997877f52cff005a2f67032b049ef9e46f016e4632e0628,n/a,
